,AUC_V,AUC_L,AUC_K,AUC_M,AUC_F
Kst,0.001461739,0.001121388,0.001466139,0.001543784,0.001794083
Kint,-0.728266339,-0.728515277,-0.72826312,-0.728206299,-0.728023111
KurineC,-0.543701481,-0.413052798,-0.967735415,-0.543138126,-0.542038704
KmC,-0.003047964,-0.003052675,-0.003047819,-0.003045495,-0.003040646
Ka,0.733143615,0.733051935,0.733144802,0.733165748,0.73323329
QCC,-0.403188268,-0.543272569,0.020928695,-0.402166166,-0.399304908
QLC,-0.028045025,-0.257558083,-0.027762214,-0.023319903,-0.015218411
QKC,-0.4279642,-0.324659844,-0.003738263,-0.424241998,-0.4177548
QFC,-0.001088156,-0.000797086,-0.001075664,-0.000878481,0.003181529
QMC,-0.028639837,-0.021084963,-0.028355373,-0.022938211,-0.015716315
BW,-0.993116793,-0.993121458,-0.993116649,-0.993114348,-0.993109546
VLC,-0.002968012,-0.003129672,-0.002970855,-0.003021003,-0.00316302
VKC,0.000249632,0.000189113,0.000199496,0.000245024,0.000231761
VFC,0.00240342,0.001820252,0.002400951,0.002356167,-0.00152724
VMC,0.020433031,0.015498028,0.020421589,0.019189594,0.019485085
VbloodC,0.003124748,0.002370633,0.00311869,0.003125424,0.003126408
Htc,5.19E-05,4.20E-05,5.50E-05,5.74E-05,6.35E-05
PB,0.155291333,0.209242037,-0.008004615,0.154898588,0.153785227
PL,-0.004337199,0.995787361,-0.004340419,-0.004395669,-0.004543948
PK,-0.000132928,-0.000101821,0.999814998,-0.000139062,-0.00015407
PM,-0.00651867,-0.004998634,-0.006537563,0.992050466,-0.007698122
PF,-0.000952547,-0.000731945,-0.000955943,-0.001013243,0.995038792
PRest,-0.031817304,-0.024196729,-0.031826012,-0.031943649,-0.032088278
