"","pars"
"Kst",0.0017940834404864
"Kint",-0.728023111134971
"KurineC",-0.542038704016689
"KmC",-0.0030406461096966
"Ka",0.733233289688719
"QCC",-0.399304908378191
"QLC",-0.0152184112245588
"QKC",-0.417754799946676
"QFC",0.00318152894993332
"QMC",-0.0157163153336446
"BW",-0.993109546464473
"VLC",-0.00316301973877801
"VKC",0.000231761435043898
"VFC",-0.00152724044008234
"VMC",0.0194850847437062
"VbloodC",0.00312640771704082
"Htc",6.35068703556441e-05
"PB",0.153785227303912
"PL",-0.00454394829302317
"PK",-0.000154069667175384
"PM",-0.00769812157046305
"PF",0.99503879158691
"PRest",-0.0320882777745188
