"","pars"
"Kst",0.00146613908770473
"Kint",-0.728263119667294
"KurineC",-0.967735414827752
"KmC",-0.00304781877758348
"Ka",0.733144801643264
"QCC",0.0209286950520055
"QLC",-0.027762214045419
"QKC",-0.00373826349384026
"QFC",-0.00107566443062016
"QMC",-0.028355373191539
"BW",-0.993116649228821
"VLC",-0.00297085452230158
"VKC",0.00019949555837397
"VFC",0.00240095108646629
"VMC",0.0204215886863244
"VbloodC",0.00311869037860326
"Htc",5.49790902381476e-05
"PB",-0.00800461480169477
"PL",-0.00434041931798631
"PK",0.999814997956669
"PM",-0.00653756334611631
"PF",-0.000955942503275038
"PRest",-0.0318260120907067
