"","pars"
"Kst",0.00112138840667097
"Kint",-0.728515276713693
"KurineC",-0.413052798070611
"KmC",-0.0030526745974957
"Ka",0.733051934556872
"QCC",-0.54327256869956
"QLC",-0.257558082720771
"QKC",-0.324659844462648
"QFC",-0.000797085582375582
"QMC",-0.0210849633228923
"BW",-0.993121457557053
"VLC",-0.00312967191137508
"VKC",0.000189112924918926
"VFC",0.00182025189613057
"VMC",0.0154980280129399
"VbloodC",0.00237063264933485
"Htc",4.20050069958201e-05
"PB",0.209242036711017
"PL",0.995787360553605
"PK",-0.000101820967584625
"PM",-0.00499863393569603
"PF",-0.000731944873100985
"PRest",-0.0241967291982913
