"","pars"
"Kst",0.00154378350479745
"Kint",-0.728206299016144
"KurineC",-0.543138126392063
"KmC",-0.00304549544420513
"Ka",0.733165747866983
"QCC",-0.402166166251125
"QLC",-0.023319902755748
"QKC",-0.424241998456865
"QFC",-0.000878480940458931
"QMC",-0.0229382105704843
"BW",-0.993114347992936
"VLC",-0.00302100318788654
"VKC",0.000245023898923902
"VFC",0.00235616738649627
"VMC",0.0191895936441332
"VbloodC",0.00312542396163762
"Htc",5.73574440325671e-05
"PB",0.154898588260614
"PL",-0.00439566865849223
"PK",-0.000139061840147774
"PM",0.992050465580066
"PF",-0.00101324288081475
"PRest",-0.0319436494310673
