"","pars"
"Kst",0.00146173893055274
"Kint",-0.728266339493865
"KurineC",-0.543701481263825
"KmC",-0.00304796408760875
"Ka",0.733143614848475
"QCC",-0.403188267566127
"QLC",-0.0280450252703454
"QKC",-0.427964199624075
"QFC",-0.00108815639803881
"QMC",-0.0286398374378588
"BW",-0.993116793146634
"VLC",-0.00296801182572399
"VKC",0.000249632065303153
"VFC",0.00240342049641155
"VMC",0.0204330310364512
"VbloodC",0.00312474832851799
"Htc",5.18984698305986e-05
"PB",0.155291332857675
"PL",-0.0043371990342875
"PK",-0.000132927804453098
"PM",-0.00651867041015171
"PF",-0.000952546553281442
"PRest",-0.031817304482792
