,AUC_V,AUC_L,AUC_K,AUC_M,AUC_F
Kst,0.004930876,0.004092833,0.004971882,0.005668283,0.006786486
Kint,-0.269484144,-0.269707006,-0.269473279,-0.269288381,-0.268990383
KurineC,-0.532733441,-0.402545544,-0.956750927,-0.531879743,-0.530934559
KmC,-0.002999406,-0.003003384,-0.002999155,-0.002995513,-0.002991118
Ka,0.27305707,0.272458437,0.27308623,0.273582707,0.274383557
QCC,-0.401232005,-0.543808138,0.022980425,-0.397392216,-0.387144738
QLC,0.045452654,-0.205764641,0.045658523,0.048023555,0.048744897
QKC,-0.368523791,-0.278132261,0.055972337,-0.366125425,-0.364998818
QFC,0.001969807,0.00150399,0.001976514,0.002041821,0.015377171
QMC,0.045150731,0.03458428,0.045350876,0.051066783,0.047910132
BW,-0.993068718,-0.993072657,-0.993068469,-0.993064863,-0.993060511
VLC,-0.004601401,-0.004655895,-0.004616776,-0.004867516,-0.005264298
VKC,0.000101972,7.38E-05,-4.67E-05,7.88E-05,4.74E-05
VFC,0.001522299,0.001140021,0.001517692,0.001459924,-0.012116538
VMC,0.013016946,0.009689741,0.012953395,0.008482053,0.011024838
VbloodC,0.003132734,0.002349155,0.003111589,0.003084955,0.003049565
Htc,0.000113939,9.39E-05,0.000123087,0.000131748,0.000144592
PB,0.154572062,0.209477589,-0.008750986,0.153095135,0.149127902
PL,-0.006032978,0.994205155,-0.006048146,-0.006295896,-0.006689987
PK,-0.000298064,-0.000228466,0.999548812,-0.000320352,-0.000351022
PM,-0.015165622,-0.011602853,-0.015225064,0.980168213,-0.017040192
PF,-0.001986891,-0.001511262,-0.00199099,-0.002041434,0.9842331
PRest,-0.03325683,-0.025126586,-0.033252095,-0.033183812,-0.033123589
