"","pars"
"Kst",0.00678648596441282
"Kint",-0.268990382839178
"KurineC",-0.530934558951287
"KmC",-0.00299111750941274
"Ka",0.274383557137935
"QCC",-0.387144737665929
"QLC",0.0487448968552623
"QKC",-0.364998818037134
"QFC",0.0153771714642205
"QMC",0.047910132199347
"BW",-0.993060510914286
"VLC",-0.0052642981036919
"VKC",4.73684975479217e-05
"VFC",-0.012116537606828
"VMC",0.0110248382365903
"VbloodC",0.00304956517423407
"Htc",0.000144592028297156
"PB",0.149127901906122
"PL",-0.00668998694774753
"PK",-0.000351022189161118
"PM",-0.0170401924538831
"PF",0.984233100397455
"PRest",-0.0331235891670745
