"","pars"
"Kst",0.00497188187198676
"Kint",-0.269473279081195
"KurineC",-0.956750927236922
"KmC",-0.0029991546437718
"Ka",0.273086230355642
"QCC",0.0229804250246302
"QLC",0.0456585231645321
"QKC",0.0559723373187882
"QFC",0.00197651368866004
"QMC",0.0453508759931055
"BW",-0.993068468796703
"VLC",-0.0046167755793014
"VKC",-4.67433618655596e-05
"VFC",0.00151769244847463
"VMC",0.0129533954097132
"VbloodC",0.0031115893413739
"Htc",0.000123087471879675
"PB",-0.00875098646290918
"PL",-0.00604814550306611
"PK",0.999548811653838
"PM",-0.0152250641925839
"PF",-0.00199099033312081
"PRest",-0.0332520947660704
