"","pars"
"Kst",0.00409283257045731
"Kint",-0.269707005612158
"KurineC",-0.402545543946324
"KmC",-0.00300338442702515
"Ka",0.272458436726355
"QCC",-0.543808138114845
"QLC",-0.205764640659338
"QKC",-0.278132260674512
"QFC",0.00150399030176294
"QMC",0.0345842799804206
"BW",-0.993072657002926
"VLC",-0.00465589453734589
"VKC",7.37729659763878e-05
"VFC",0.00114002076706686
"VMC",0.00968974138611817
"VbloodC",0.00234915534972311
"Htc",9.39284973941354e-05
"PB",0.209477588671863
"PL",0.994205154751841
"PK",-0.000228465818538264
"PM",-0.0116028528421349
"PF",-0.00151126221171337
"PRest",-0.0251265862743261
