"","pars"
"Kst",0.00566828293071273
"Kint",-0.269288380726348
"KurineC",-0.531879742769196
"KmC",-0.00299551347812805
"Ka",0.273582707186961
"QCC",-0.397392216143658
"QLC",0.0480235551679562
"QKC",-0.366125424531486
"QFC",0.00204182063472245
"QMC",0.0510667831069321
"BW",-0.993064863269933
"VLC",-0.00486751599282393
"VKC",7.87914478853192e-05
"VFC",0.00145992417543249
"VMC",0.00848205292749395
"VbloodC",0.00308495547382486
"Htc",0.000131747904626436
"PB",0.153095134517514
"PL",-0.00629589553478667
"PK",-0.000320352281269908
"PM",0.980168213196387
"PF",-0.00204143432983269
"PRest",-0.0331838122690347
