"","pars"
"Kst",0.00493087585297517
"Kint",-0.26948414406691
"KurineC",-0.532733440591636
"KmC",-0.00299940593238036
"Ka",0.273057070147591
"QCC",-0.401232005278091
"QLC",0.0454526544673582
"QKC",-0.368523790669558
"QFC",0.00196980697250157
"QMC",0.0451507305899333
"BW",-0.993068717628012
"VLC",-0.00460140134800131
"VKC",0.000101972350718909
"VFC",0.00152229853576193
"VMC",0.0130169461046422
"VbloodC",0.0031327340309306
"Htc",0.00011393879415768
"PB",0.154572062252669
"PL",-0.00603297815140103
"PK",-0.00029806427089229
"PM",-0.0151656215006469
"PF",-0.00198689091919722
"PRest",-0.033256829719316
