"","pars"
"Kst",0.00819492665324053
"Kint",-0.803656888801683
"KurineC",-0.530852034217264
"KmC",-0.00299038855509329
"Ka",0.813312835607477
"QCC",-0.384949610025823
"QLC",0.0388314628059137
"QKC",-0.372052958000068
"QFC",0.0165451060087411
"QMC",0.0371931792725169
"BW",-0.993059790917028
"VLC",-0.00570471290196896
"VKC",2.00294244691076e-05
"VFC",-0.0136737525945238
"VMC",0.0108976849120197
"VbloodC",0.00302634196795282
"Htc",0.000156599725075068
"PB",0.14830004985962
"PL",-0.00713207222181887
"PK",-0.000378825096953442
"PM",-0.0171993356047631
"PF",0.982656101354678
"PRest",-0.0331655178293346
