"","pars"
"Kst",0.00729949318658405
"Kint",-0.804186472814527
"KurineC",-0.955384161199128
"KmC",-0.0029927846650077
"Ka",0.813189318630533
"QCC",0.0239435025914603
"QLC",0.041171329346108
"QKC",0.053678704183011
"QFC",0.00164265963736406
"QMC",0.0400218948900104
"BW",-0.993062162388347
"VLC",-0.00535262095510741
"VKC",-0.000185012731899787
"VFC",0.00151044637928365
"VMC",0.0111910385381207
"VbloodC",0.00304119864374107
"Htc",0.000146248594515603
"PB",-0.00910077353124655
"PL",-0.00677636970891291
"PK",0.999411315346384
"PM",-0.0168360974762557
"PF",-0.00197950567898473
"PRest",-0.0330788974137358
