"","pars"
"Kst",0.00671218763667106
"Kint",-0.804529586065721
"KurineC",-0.400872100810403
"KmC",-0.00299459216140444
"Ka",0.813109274186901
"QCC",-0.543638758280474
"QLC",-0.210524389202355
"QKC",-0.279639429404204
"QFC",0.00123751708820705
"QMC",0.0301917110021691
"BW",-0.993063951579524
"VLC",-0.00548015065995604
"VKC",3.04192304620056e-05
"VFC",0.00113843188496203
"VMC",0.00840413434475724
"VbloodC",0.00229285668907251
"Htc",0.000111150816151136
"PB",0.20942589818908
"PL",0.993380068126619
"PK",-0.000269763252762027
"PM",-0.0127429924145284
"PF",-0.0014948241697238
"PRest",-0.024958960942408
