"","pars"
"Kst",0.00784239122702823
"Kint",-0.80387143474504
"KurineC",-0.531000096378399
"KmC",-0.00299115048900178
"Ka",0.813262815174484
"QCC",-0.395065625665688
"QLC",0.0409188925161554
"QKC",-0.37065977283906
"QFC",0.00161094798197574
"QMC",0.0445882455007396
"BW",-0.993060545213384
"VLC",-0.00555928616725172
"VKC",2.8795794126543e-05
"VFC",0.00150452887839889
"VMC",0.00580822755815848
"VbloodC",0.00302826621175269
"Htc",0.000152301215418388
"PB",0.152215277129775
"PL",-0.00698335065713463
"PK",-0.000369137481935876
"PM",0.977554328930864
"PF",-0.00198619004337409
"PRest",-0.0330872336070734
