"","pars"
"Kst",0.00725128953426414
"Kint",-0.80421242018228
"KurineC",-0.53137416070353
"KmC",-0.0029929472919433
"Ka",0.813183259622542
"QCC",-0.40032040745724
"QLC",0.0411433939846614
"QKC",-0.370710623115668
"QFC",0.00164358100564354
"QMC",0.0400159959603252
"BW",-0.993062323524053
"VLC",-0.00533584145123187
"VKC",4.40475453197517e-05
"VFC",0.00151139184153892
"VMC",0.0112190721728064
"VbloodC",0.00307239662123734
"Htc",0.000132465964003226
"PB",0.154235894451194
"PL",-0.006759625047882
"PK",-0.00035380659244874
"PM",-0.0168087796796871
"PF",-0.00197864614883168
"PRest",-0.0330796421314567
