"","pars"
"Kst",0.000909129739181926
"Kint",-0.861856593211965
"KurineC",-0.394991830140594
"KmC",-0.0066609896750866
"Ka",0.869281135074318
"QCC",-0.552827407123156
"QLC",-0.015319644653995
"QKC",-0.573717321241538
"QFC",-0.000904942462334997
"QMC",-0.0118269450298288
"QovaryC",-0.0115799139497251
"QoviductC",-0.00972039738813426
"BW",-0.996693506853724
"VLC",-0.00658902658967192
"VKC",0.000381782420550187
"VFC",0.00216800236021566
"VMC",0.0163541837022889
"VbloodC",0.00282275514684579
"Htc",4.65747309252059e-05
"VovaryC",0.00109891283106876
"VoviductC",0.00140627978268187
"PB",0.212868737740308
"PL",-0.00809820686704518
"PK",-7.89213753068348e-05
"PM",0.992025522081448
"Povary",-5.93815854383985e-05
"Poviduct",-0.000157540194081315
"PF",-0.00086270023076469
"PRest",-0.025714417662674
"Ay",0
"Ky",-5.13653599075695e-07
"Kw",0
"tlag",-5.29604434214581e-07
"tsig",-1.14121381480027e-06
"s",2.66135818254218e-06
"talbumen",0
"tlay1",6.092646637669e-06
"Rwhitefor",0
