"","pars"
"Kst",0.00081417632638101
"Kint",-0.86195262250588
"KurineC",-0.39563569341634
"KmC",-0.00666882860979707
"Ka",0.869266447126682
"QCC",-0.554827917943304
"QLC",-0.0211644793132977
"QKC",-0.579171969267226
"QFC",-0.0012644132420441
"QMC",-0.0180783163604469
"QovaryC",-0.0153103741015833
"QoviductC",-0.0128552577627344
"BW",-0.996700777859676
"VLC",-0.00647152095592035
"VKC",0.00038606170140103
"VFC",0.00224755844475404
"VMC",0.018508086579876
"VbloodC",0.00281390249869274
"Htc",4.24362026282004e-05
"VovaryC",0.00107858309659739
"VoviductC",0.00141073924300885
"PB",0.213647242411475
"PL",-0.00797134027731573
"PK",-7.17783516899114e-05
"PM",-0.00558945259960779
"Povary",0.999926348372256
"Poviduct",-0.000143362940357901
"PF",-0.000764238695333368
"PRest",-0.0255558344744726
"Ay",0
"Ky",-9.63014241767209e-07
"Kw",0
"tlag",-9.47149918987119e-07
"tsig",-2.05934034691405e-06
"s",4.82965152757453e-06
"talbumen",0
"tlay1",1.1027776448839e-05
"Rwhitefor",0
