"","pars"
"Kst",0.000812809838688055
"Kint",-0.861953974571555
"KurineC",-0.395646669856418
"KmC",-0.00666889626766356
"Ka",0.86926623896923
"QCC",-0.554858393228172
"QLC",-0.0212695263319693
"QKC",-0.579269199617526
"QFC",-0.00127080462207245
"QMC",-0.0181625566829211
"QovaryC",-0.0153958509851013
"QoviductC",-0.0129115194975983
"BW",-0.996701313389025
"VLC",-0.00646986342281353
"VKC",0.000386078163050142
"VFC",0.0022486741986394
"VMC",0.0185149772726214
"VbloodC",0.00281905217646583
"Htc",3.99399794256604e-05
"VovaryC",0.00109690326015713
"VoviductC",0.00141077392177947
"PB",0.213657018679215
"PL",-0.00796945189519582
"PK",-7.16860546434545e-05
"PM",-0.00557910306239751
"Povary",-5.40147269881179e-05
"Poviduct",-0.000143105240050512
"PF",-0.000762728498679425
"PRest",-0.0255521957935649
"Ay",0
"Ky",-5.29561983885779e-07
"Kw",0
"tlag",-5.31351386149558e-07
"tsig",-1.15029030727161e-06
"s",2.69887995938329e-06
"talbumen",0
"tlay1",6.15542348501357e-06
"Rwhitefor",0
