,AUC_V,AUC_L,AUC_K,AUC_M,AUC_F,AUC_Ovary,AUC_Oviduct
Kst,0.004774668,0.004255179,0.004824551,0.005513819,0.005654881,0.004796689,0.004833583
Kint,-0.857987147,-0.858469571,-0.857939706,-0.857299097,-0.85716895,-0.857966177,-0.857931137
KurineC,-0.386937769,-0.258798905,-0.967204869,-0.386559318,-0.386514584,-0.386923698,-0.386900645
KmC,-0.006559585,-0.006563548,-0.006559138,-0.006553937,-0.006553169,-0.006559387,-0.006559058
Ka,0.8698729,0.86979944,0.869880133,0.869977682,0.869997492,0.869876106,0.869881439
QCC,-0.547899767,-0.690937327,0.032768773,-0.538149086,-0.53230973,-0.54776308,-0.547529126
QLC,0.032731995,-0.30244902,0.032774195,0.032234053,0.031246132,0.03275142,0.032781111
QKC,-0.525711981,-0.351582849,0.055096047,-0.525794884,-0.526549604,-0.525682893,-0.525637245
QFC,0.001707242,0.001137773,0.001706245,0.001632628,0.01663425,0.001706847,0.001706029
QMC,0.023400783,0.015622114,0.02339783,0.031833845,0.021603485,0.023400121,0.023396713
QovaryC,0.018809479,0.012615763,0.018827922,0.018342227,0.017678598,0.018915821,0.018830772
QoviductC,0.015721278,0.010545204,0.015736963,0.015334597,0.014781229,0.015728649,0.016053415
BW,-0.996593019,-0.996597152,-0.996592577,-0.996587449,-0.996586699,-0.996592285,-0.996592498
VLC,-0.009604003,-0.009784461,-0.009634872,-0.010085923,-0.010179479,-0.009617602,-0.009640475
VKC,0.000254826,0.000167239,-9.16E-06,0.000238218,0.000235636,0.000254333,0.000253487
VFC,0.001313058,0.000875359,0.001311742,0.001305186,-0.013909714,0.001312453,0.00131152
VMC,0.009593879,0.006365902,0.009572486,-2.53E-05,0.009426658,0.009584214,0.009568824
VbloodC,0.00275972,0.001822751,0.002729474,0.00271065,0.002710935,0.00273035,0.002729189
Htc,0.000117238,8.89E-05,0.000130602,0.000140578,0.000142785,0.000130225,0.000130723
VovaryC,0.001031426,0.000687602,0.001030552,0.001019638,0.001019028,0.000932896,0.001030394
VoviductC,0.001174124,0.000779081,0.001171851,0.00114213,0.001138269,0.001173127,0.000854077
PB,0.211019679,0.266106059,-0.012508372,0.20725209,0.204987942,0.210977775,0.210887277
PL,-0.01116287,0.989064388,-0.0111937,-0.011646666,-0.011742943,-0.011176453,-0.011199297
PK,-0.000221045,-0.000151117,0.999510129,-0.000238235,-0.000241647,-0.000221543,-0.000222369
PM,-0.015456813,-0.010393426,-0.015477537,0.974645325,-0.015696708,-0.015466182,-0.015481095
Povary,-0.000165169,-0.00011294,-0.000166012,-0.000178375,-0.000181061,0.999733117,-0.000166165
Poviduct,-0.000441351,-0.000301707,-0.000443582,-0.000475278,-0.000481955,-0.000442328,0.999231042
PF,-0.00181773,-0.001219201,-0.001818966,-0.001829355,0.982780095,-0.001818291,-0.001819176
PRest,-0.026557144,-0.017767449,-0.026556527,-0.026590477,-0.02663758,-0.026556859,-0.026556434
Ay,0,0,0,0,0,0,0
Ky,-6.38E-07,-4.27E-07,-6.37E-07,-6.16E-07,-6.06E-07,-1.18E-06,-6.37E-07
Kw,0,0,0,0,0,0,0
tlag,-6.43E-07,-4.25E-07,-6.42E-07,-6.25E-07,-6.16E-07,-1.20E-06,-6.42E-07
tsig,-1.31E-06,-8.72E-07,-1.31E-06,-1.27E-06,-1.24E-06,-2.42E-06,-1.31E-06
s,3.13E-06,2.09E-06,3.13E-06,3.05E-06,3.01E-06,5.74E-06,3.13E-06
talbumen,0,0,0,0,0,0,0
tlay1,7.29E-06,4.85E-06,7.28E-06,7.06E-06,6.94E-06,1.35E-05,7.28E-06
Rwhitefor,0,0,0,0,0,0,0
