"","pars"
"Kst",0.0042551792103224
"Kint",-0.858469571052673
"KurineC",-0.25879890530902
"KmC",-0.00656354756837294
"Ka",0.869799439800549
"QCC",-0.690937327446439
"QLC",-0.3024490200442
"QKC",-0.35158284889671
"QFC",0.00113777331571057
"QMC",0.015622113735811
"QovaryC",0.0126157633505647
"QoviductC",0.010545203566432
"BW",-0.996597151766841
"VLC",-0.00978446115068336
"VKC",0.000167239453206917
"VFC",0.000875359364791487
"VMC",0.00636590233450592
"VbloodC",0.00182275135038948
"Htc",8.88712837476803e-05
"VovaryC",0.0006876021353764
"VoviductC",0.000779081403955056
"PB",0.266106059179988
"PL",0.989064387850631
"PK",-0.000151117240867675
"PM",-0.0103934255232911
"Povary",-0.000112940053975137
"Poviduct",-0.00030170734622746
"PF",-0.00121920080202833
"PRest",-0.0177674492092274
"Ay",0
"Ky",-4.27278156786112e-07
"Kw",0
"tlag",-4.25393297691335e-07
"tsig",-8.72360891088648e-07
"s",2.08675503590785e-06
"talbumen",0
"tlay1",4.85108581693205e-06
"Rwhitefor",0
