"","pars"
"Kst",0.00551381855482269
"Kint",-0.857299096691636
"KurineC",-0.386559318182098
"KmC",-0.00655393678181284
"Ka",0.869977681826734
"QCC",-0.538149086435194
"QLC",0.0322340530508407
"QKC",-0.525794884469533
"QFC",0.00163262766179205
"QMC",0.0318338451194898
"QovaryC",0.018342226594409
"QoviductC",0.0153345974807914
"BW",-0.99658744858169
"VLC",-0.01008592340966
"VKC",0.000238217906500481
"VFC",0.00130518619764431
"VMC",-2.53474051334365e-05
"VbloodC",0.00271064984437199
"Htc",0.000140578085247544
"VovaryC",0.00101963774896493
"VoviductC",0.00114212987189427
"PB",0.207252090172479
"PL",-0.0116466658402142
"PK",-0.00023823489726952
"PM",0.974645324520137
"Povary",-0.000178374737235871
"Poviduct",-0.00047527782956492
"PF",-0.00182935456844629
"PRest",-0.026590477348958
"Ay",0
"Ky",-6.16007148050485e-07
"Kw",0
"tlag",-6.25300986850271e-07
"tsig",-1.26575928341098e-06
"s",3.05257015566344e-06
"talbumen",0
"tlay1",7.06364318283532e-06
"Rwhitefor",0
