"","pars"
"Kst",0.00479668935644991
"Kint",-0.857966177386336
"KurineC",-0.386923698347472
"KmC",-0.00655938656227188
"Ka",0.869876105701127
"QCC",-0.547763080030634
"QLC",0.0327514197344355
"QKC",-0.525682893099172
"QFC",0.00170684681689035
"QMC",0.0234001211790329
"QovaryC",0.0189158212683458
"QoviductC",0.0157286486600451
"BW",-0.996592284545826
"VLC",-0.00961760175051052
"VKC",0.000254332763026014
"VFC",0.00131245310082194
"VMC",0.00958421386503609
"VbloodC",0.00273034972207164
"Htc",0.000130224633182392
"VovaryC",0.000932895934970412
"VoviductC",0.00117312748753061
"PB",0.21097777476481
"PL",-0.0111764528043976
"PK",-0.000221542849693798
"PM",-0.0154661819953674
"Povary",0.999733116629562
"Poviduct",-0.000442327808718225
"PF",-0.00181829086635073
"PRest",-0.0265568588824184
"Ay",0
"Ky",-1.17897371077033e-06
"Kw",0
"tlag",-1.19551691475795e-06
"tsig",-2.42075376989582e-06
"s",5.73656576213382e-06
"talbumen",0
"tlay1",1.35062542368916e-05
"Rwhitefor",0
