"","pars"
"Kst",0.00483358293497159
"Kint",-0.857931136914543
"KurineC",-0.386900644769525
"KmC",-0.00655905805623153
"Ka",0.86988143933948
"QCC",-0.54752912647348
"QLC",0.0327811105527085
"QKC",-0.525637245241515
"QFC",0.00170602885298831
"QMC",0.0233967131442886
"QovaryC",0.0188307717557809
"QoviductC",0.0160534149072349
"BW",-0.996592498411846
"VLC",-0.00964047527257899
"VKC",0.000253487443588504
"VFC",0.00131151991897013
"VMC",0.00956882392560191
"VbloodC",0.00272918871171926
"Htc",0.000130722901357398
"VovaryC",0.00103039430866978
"VoviductC",0.000854076902317582
"PB",0.210887277474624
"PL",-0.0111992969023449
"PK",-0.000222369122234024
"PM",-0.0154810949127717
"Povary",-0.000166164823560863
"Poviduct",0.999231041990914
"PF",-0.00181917596166469
"PRest",-0.0265564338986945
"Ay",0
"Ky",-6.36932492248814e-07
"Kw",0
"tlag",-6.41911297530929e-07
"tsig",-1.3063947340812e-06
"s",3.12648387949191e-06
"talbumen",0
"tlay1",7.27922805785448e-06
"Rwhitefor",0
